iter	ipm	tradeoff	ntr	rom	bdrate
139	24	-0.00256533	8	15.5625	-0.960141
140	22	-0.00429867	8	15.75	-0.960947
141	20	-0.0103147	8	15.9375	-0.962881
142	22	-0.0333067	16	16.3125	-0.975371
143	30	0.038688	8	16.5	-0.968117
144	25	0.0862613	8	16.6875	-0.951943
145	24	-0.0268827	16	17.0625	-0.962024
146	34	-0.0376053	16	17.4375	-0.976126
147	11	0.0831093	8	17.625	-0.960543
148	27	-0.0408773	16	18	-0.975872
149	20	-0.003464	16	18.375	-0.977171
150	08	0.0163787	8	18.5625	-0.9741
151	13	0.0293707	8	18.75	-0.968593
152	07	-0.001016	16	19.125	-0.968974
153	09	0.156816	8	19.3125	-0.939571
154	03	-0.058896	16	19.6875	-0.961657
155	33	-0.00886933	16	20.0625	-0.964983
156	02	0.0234027	8	20.25	-0.960595
