nz	dist
0.637103	1.092302
0.604395	1.469521
0.567935	1.985601
0.529217	2.682857
0.493035	3.502413
0.45152	4.67406
0.406188	6.306599
0.364981	8.176391
0.323005	10.582024
0.279989	13.670308
0.243147	17.000681
0.203552	21.436583
0.164659	27.008339
0.133138	32.790505
0.104138	39.395097
0.078335	46.795951
0.059051	53.653498
0.041598	61.621585
0.027053	69.845201
0.017808	76.700131
0.01075	82.929157
0.006175	88.328322
0.003488	92.224068
0.001757	95.209456
0.000725	97.47928
0.000317	98.683875
0.000114	99.318282
0.000035	99.77086
0.000012	99.914441
0.000002	99.957197
0	99.857932
