iter	dst	dct	klt_sep	klt_nsep	rdot_sep	rdot_nsep
112	34.95	36.23	34.87	34.49	34.6847	33.5696
113	34.95	36.23	34.87	34.49	34.6825	33.5671
114	34.95	36.23	34.87	34.49	34.6804	33.5647
115	34.95	36.23	34.87	34.49	34.6782	33.5624
116	34.95	36.23	34.87	34.49	34.6760	33.5600
117	34.95	36.23	34.87	34.49	34.6738	33.5577
118	34.95	36.23	34.87	34.49	34.6716	33.5554
119	34.95	36.23	34.87	34.49	34.6693	33.5531
120	34.95	36.23	34.87	34.49	34.6670	33.5508
121	34.95	36.23	34.87	34.49	34.6647	33.5486
122	34.95	36.23	34.87	34.49	34.6624	33.5464
123	34.95	36.23	34.87	34.49	34.6600	33.5441
124	34.95	36.23	34.87	34.49	34.6577	33.5419
125	34.95	36.23	34.87	34.49	34.6553	33.5398
126	34.95	36.23	34.87	34.49	34.6529	33.5376
127	34.95	36.23	34.87	34.49	34.6505	33.5354
128	34.95	36.23	34.87	34.49	34.6481	33.5332
129	34.95	36.23	34.87	34.49	34.6457	33.5311
130	34.95	36.23	34.87	34.49	34.6432	33.5289
131	34.95	36.23	34.87	34.49	34.6408	33.5268
132	34.95	36.23	34.87	34.49	34.6383	33.5246
133	34.95	36.23	34.87	34.49	34.6358	33.5225
134	34.95	36.23	34.87	34.49	34.6333	33.5204
135	34.95	36.23	34.87	34.49	34.6308	33.5183
136	34.95	36.23	34.87	34.49	34.6283	33.5162
137	34.95	36.23	34.87	34.49	34.6258	33.5141
138	34.95	36.23	34.87	34.49	34.6232	33.5119
139	34.95	36.23	34.87	34.49	34.6207	33.5098
140	34.95	36.23	34.87	34.49	34.6182	33.5077
141	34.95	36.23	34.87	34.49	34.6157	33.5056
142	34.95	36.23	34.87	34.49	34.6131	33.5036
143	34.95	36.23	34.87	34.49	34.6106	33.5015
144	34.95	36.23	34.87	34.49	34.6081	33.4994
145	34.95	36.23	34.87	34.49	34.6056	33.4973
146	34.95	36.23	34.87	34.49	34.6031	33.4953
147	34.95	36.23	34.87	34.49	34.6007	33.4932
148	34.95	36.23	34.87	34.49	34.5982	33.4911
149	34.95	36.23	34.87	34.49	34.5958	33.4891
