nz	dist
0.682768	1.003673
0.651209	1.368193
0.615219	1.877083
0.576262	2.579239
0.539801	3.405492
0.496545	4.626607
0.448727	6.348491
0.404402	8.36362
0.358184	11.009095
0.310407	14.446106
0.268762	18.210132
0.22355	23.274884
0.178336	29.754038
0.141726	36.470141
0.107981	44.152456
0.078409	52.636425
0.056651	60.380103
0.037484	69.108035
0.022366	77.654336
0.013331	84.342646
0.007066	89.834749
0.003421	94.160075
0.001621	96.776214
0.000634	98.443657
0.000188	99.37924
0.000056	99.785426
0.000011	99.854927
0.000002	99.988757
0	100.009085
0	99.984825
0	99.881532
