rom	bdrate	romsym	bdratesym
24.94	-2.22	13.50	2.22
25.31	-2.23	13.50	2.23
25.50	-2.22	13.50	2.22
5.44	-1.28	3.56	1.28
5.48	-1.37	3.61	1.37
5.53	-1.46	3.61	1.46
5.58	-1.50	3.66	1.50
5.63	-1.55	3.70	1.55
5.67	-1.59	3.75	1.59
5.72	-1.63	3.80	1.63
5.77	-1.64	3.84	1.64
5.81	-1.66	3.89	1.66
5.86	-1.69	3.94	1.69
5.91	-1.71	3.94	1.71
5.95	-1.73	3.98	1.73
6.00	-1.73	4.03	1.73
6.05	-1.74	4.08	1.74
6.09	-1.75	4.08	1.75
6.14	-1.76	4.13	1.76
6.19	-1.76	4.17	1.76
6.23	-1.78	4.17	1.78
6.33	-1.79	4.27	1.79
6.38	-1.80	4.31	1.80
6.56	-1.83	4.50	1.83
6.61	-1.84	4.50	1.84
6.66	-1.85	4.55	1.85
6.70	-1.86	4.59	1.86
6.75	-1.86	4.59	1.86
6.80	-1.87	4.59	1.87
6.84	-1.88	4.59	1.88
7.22	-1.90	4.97	1.90
7.27	-1.91	4.97	1.91
7.31	-1.92	4.97	1.92
7.36	-1.92	4.97	1.92
7.41	-1.93	5.02	1.93
7.45	-1.92	5.06	1.92
7.50	-1.93	5.06	1.93
7.55	-1.93	5.06	1.93
7.64	-1.94	5.16	1.94
7.73	-1.96	5.25	1.96
7.78	-1.97	5.25	1.97
7.97	-1.99	5.44	1.99
8.02	-2.00	5.48	2.00
8.11	-2.02	5.48	2.02
8.16	-2.03	5.48	2.03
8.20	-2.04	5.48	2.04
8.25	-2.05	5.48	2.05
8.30	-2.06	5.48	2.06
8.34	-2.06	5.53	2.06
8.39	-2.07	5.53	2.07
8.44	-2.07	5.53	2.07
8.63	-2.08	5.72	2.08
8.67	-2.09	5.77	2.09
8.72	-2.09	5.77	2.09
9.47	-2.09	6.52	2.09
9.52	-2.10	6.52	2.10
9.61	-2.10	6.61	2.10
9.66	-2.10	6.61	2.10
9.70	-2.11	6.61	2.11
9.75	-2.12	6.66	2.12
9.84	-2.12	6.75	2.12
10.03	-2.13	6.75	2.13
10.08	-2.13	6.75	2.13
10.13	-2.13	6.75	2.13
10.50	-2.13	7.13	2.13
10.55	-2.13	7.13	2.13
10.59	-2.14	7.13	2.14
10.64	-2.15	7.13	2.15
10.69	-2.15	7.13	2.15
10.73	-2.15	7.13	2.15
10.83	-2.16	7.22	2.16
11.02	-2.16	7.41	2.16
11.06	-2.16	7.41	2.16
11.11	-2.17	7.41	2.17
11.16	-2.17	7.41	2.17
11.25	-2.17	7.41	2.17
11.34	-2.17	7.50	2.17
11.39	-2.17	7.50	2.17
11.44	-2.17	7.50	2.17
11.63	-2.17	7.69	2.17
11.72	-2.18	7.78	2.18
11.77	-2.17	7.78	2.17
12.14	-2.18	8.16	2.18
12.19	-2.18	8.16	2.18
12.23	-2.18	8.16	2.18
12.28	-2.17	8.16	2.17
12.38	-2.18	8.16	2.18
12.42	-2.18	8.16	2.18
12.52	-2.18	8.25	2.18
12.61	-2.18	8.25	2.18
12.70	-2.19	8.34	2.19
12.75	-2.19	8.34	2.19
12.84	-2.20	8.34	2.20
12.94	-2.20	8.34	2.20
12.98	-2.19	8.34	2.19
13.08	-2.20	8.44	2.20
13.27	-2.21	8.63	2.21
13.31	-2.19	8.63	2.19
13.36	-2.20	8.63	2.20
13.45	-2.20	8.63	2.20
13.55	-2.21	8.63	2.21
13.59	-2.20	8.63	2.20
13.69	-2.21	8.63	2.21
14.44	-2.21	9.38	2.21
14.63	-2.21	9.38	2.21
14.67	-2.20	9.38	2.20
14.77	-2.21	9.38	2.21
14.95	-2.22	9.38	2.22
15.00	-2.20	9.38	2.20
15.09	-2.22	9.38	2.22
15.28	-2.23	9.56	2.23
15.38	-2.23	9.56	2.23
15.47	-2.22	9.56	2.22
15.56	-2.23	9.56	2.23
15.66	-2.22	9.56	2.22
15.75	-2.23	9.56	2.23
15.94	-2.23	9.75	2.23
16.03	-2.22	9.75	2.22
16.22	-2.22	9.94	2.22
16.41	-2.23	9.94	2.23
16.59	-2.23	10.13	2.23
16.69	-2.22	10.13	2.22
16.78	-2.24	10.13	2.24
16.88	-2.22	10.13	2.22
17.63	-2.24	10.88	2.24
17.81	-2.24	10.88	2.24
18.19	-2.24	10.88	2.24
18.28	-2.24	10.88	2.24
18.47	-2.26	10.88	2.26
18.56	-2.24	10.88	2.24
18.66	-2.23	10.88	2.23
18.84	-2.24	11.06	2.24
19.03	-2.25	11.06	2.25
19.13	-2.23	11.06	2.23
19.31	-2.24	11.06	2.24
19.50	-2.24	11.06	2.24
19.69	-2.25	11.06	2.25
19.88	-2.24	11.06	2.24
20.06	-2.24	11.06	2.24
20.25	-2.24	11.06	2.24
20.63	-2.25	11.44	2.25
20.81	-2.24	11.44	2.24
21.00	-2.24	11.44	2.24
21.19	-2.24	11.44	2.24
21.38	-2.25	11.44	2.25
21.75	-2.26	11.81	2.26
21.94	-2.25	11.81	2.25
22.13	-2.24	11.81	2.24
22.50	-2.25	12.19	2.25
22.88	-2.26	12.56	2.26
23.06	-2.24	12.56	2.24
23.44	-2.26	12.94	2.26
23.81	-2.26	12.94	2.26
24.00	-2.26	12.94	2.26
24.19	-2.25	12.94	2.25
24.56	-2.25	13.31	2.25
24.75	-2.22	13.31	2.22
25.13	-2.24	13.69	2.24
25.50	-2.25	13.69	2.25
25.69	-2.24	13.69	2.24
6.19	-1.32	4.31	1.32
6.23	-1.41	4.36	1.41
6.28	-1.49	4.36	1.49
6.33	-1.54	4.41	1.54
6.38	-1.59	4.45	1.59
6.42	-1.63	4.50	1.63
6.47	-1.67	4.55	1.67
6.52	-1.68	4.59	1.68
6.56	-1.69	4.64	1.69
6.61	-1.72	4.69	1.72
6.66	-1.74	4.69	1.74
6.70	-1.76	4.73	1.76
6.75	-1.77	4.78	1.77
6.80	-1.78	4.83	1.78
6.84	-1.79	4.83	1.79
6.89	-1.79	4.88	1.79
6.94	-1.80	4.92	1.80
6.98	-1.82	4.92	1.82
7.08	-1.83	5.02	1.83
7.13	-1.84	5.06	1.84
7.31	-1.86	5.25	1.86
7.36	-1.88	5.25	1.88
7.41	-1.89	5.30	1.89
7.45	-1.89	5.34	1.89
7.50	-1.90	5.34	1.90
7.55	-1.91	5.34	1.91
7.59	-1.92	5.34	1.92
7.97	-1.93	5.72	1.93
8.02	-1.95	5.72	1.95
8.06	-1.95	5.72	1.95
8.11	-1.95	5.72	1.95
8.16	-1.96	5.77	1.96
8.20	-1.96	5.81	1.96
8.25	-1.97	5.81	1.97
8.30	-1.97	5.81	1.97
8.39	-1.98	5.91	1.98
8.48	-2.00	6.00	2.00
8.53	-2.01	6.00	2.01
8.72	-2.03	6.19	2.03
8.77	-2.04	6.23	2.04
8.86	-2.06	6.23	2.06
8.91	-2.07	6.23	2.07
8.95	-2.08	6.23	2.08
9.00	-2.08	6.23	2.08
9.05	-2.09	6.23	2.09
9.09	-2.10	6.28	2.10
9.14	-2.11	6.28	2.11
9.19	-2.10	6.28	2.10
9.38	-2.12	6.47	2.12
9.42	-2.13	6.52	2.13
9.47	-2.13	6.52	2.13
10.22	-2.13	7.27	2.13
10.27	-2.13	7.27	2.13
10.36	-2.14	7.36	2.14
10.41	-2.14	7.36	2.14
10.45	-2.14	7.36	2.14
10.50	-2.15	7.41	2.15
10.59	-2.16	7.50	2.16
10.78	-2.17	7.50	2.17
10.83	-2.17	7.50	2.17
10.88	-2.16	7.50	2.16
11.25	-2.17	7.88	2.17
11.30	-2.17	7.88	2.17
11.34	-2.18	7.88	2.18
11.39	-2.19	7.88	2.19
11.44	-2.18	7.88	2.18
11.48	-2.19	7.88	2.19
11.58	-2.20	7.97	2.20
11.77	-2.20	8.16	2.20
11.81	-2.20	8.16	2.20
11.86	-2.20	8.16	2.20
11.91	-2.20	8.16	2.20
12.00	-2.21	8.16	2.21
12.09	-2.21	8.25	2.21
12.14	-2.21	8.25	2.21
12.19	-2.21	8.25	2.21
12.38	-2.21	8.44	2.21
12.47	-2.21	8.53	2.21
12.52	-2.21	8.53	2.21
12.89	-2.22	8.91	2.22
12.94	-2.22	8.91	2.22
12.98	-2.22	8.91	2.22
13.03	-2.21	8.91	2.21
13.13	-2.22	8.91	2.22
13.17	-2.22	8.91	2.22
13.27	-2.22	9.00	2.22
13.36	-2.22	9.00	2.22
13.45	-2.23	9.09	2.23
13.50	-2.23	9.09	2.23
13.59	-2.23	9.09	2.23
13.69	-2.24	9.09	2.24
13.73	-2.22	9.09	2.22
13.83	-2.24	9.19	2.24
14.02	-2.25	9.38	2.25
14.06	-2.23	9.38	2.23
14.11	-2.23	9.38	2.23
14.20	-2.24	9.38	2.24
14.30	-2.25	9.38	2.25
14.34	-2.23	9.38	2.23
14.44	-2.24	9.38	2.24
15.19	-2.25	10.13	2.25
15.38	-2.25	10.13	2.25
15.42	-2.23	10.13	2.23
15.52	-2.25	10.13	2.25
15.70	-2.26	10.13	2.26
15.75	-2.24	10.13	2.24
15.84	-2.26	10.13	2.26
16.03	-2.27	10.31	2.27
16.13	-2.26	10.31	2.26
16.22	-2.26	10.31	2.26
16.31	-2.27	10.31	2.27
16.41	-2.26	10.31	2.26
16.50	-2.26	10.31	2.26
16.69	-2.27	10.50	2.27
16.78	-2.26	10.50	2.26
16.97	-2.26	10.69	2.26
17.16	-2.26	10.69	2.26
17.34	-2.27	10.88	2.27
17.44	-2.26	10.88	2.26
17.53	-2.27	10.88	2.27
17.63	-2.26	10.88	2.26
18.38	-2.27	11.63	2.27
18.56	-2.28	11.63	2.28
18.94	-2.28	11.63	2.28
19.03	-2.28	11.63	2.28
19.22	-2.30	11.63	2.30
19.31	-2.27	11.63	2.27
19.41	-2.27	11.63	2.27
19.59	-2.28	11.81	2.28
19.78	-2.29	11.81	2.29
19.88	-2.26	11.81	2.26
20.06	-2.28	11.81	2.28
20.25	-2.27	11.81	2.27
20.44	-2.28	11.81	2.28
20.63	-2.27	11.81	2.27
20.81	-2.28	11.81	2.28
21.00	-2.28	11.81	2.28
21.38	-2.28	12.19	2.28
21.56	-2.28	12.19	2.28
21.75	-2.28	12.19	2.28
21.94	-2.28	12.19	2.28
22.13	-2.28	12.19	2.28
22.50	-2.30	12.56	2.30
22.69	-2.29	12.56	2.29
22.88	-2.27	12.56	2.27
23.25	-2.28	12.94	2.28
23.63	-2.30	13.31	2.30
23.81	-2.28	13.31	2.28
24.19	-2.30	13.69	2.30
24.56	-2.30	13.69	2.30
24.75	-2.29	13.69	2.29
24.94	-2.29	13.69	2.29
25.31	-2.29	14.06	2.29
25.50	-2.26	14.06	2.26
25.88	-2.28	14.44	2.28
26.25	-2.29	14.44	2.29
26.44	-2.28	14.44	2.28
6.38	-1.35	4.50	1.35
6.42	-1.44	4.55	1.44
6.47	-1.53	4.55	1.53
6.52	-1.57	4.59	1.57
6.56	-1.62	4.64	1.62
6.61	-1.66	4.69	1.66
6.66	-1.70	4.73	1.70
6.70	-1.71	4.78	1.71
6.75	-1.73	4.83	1.73
6.80	-1.75	4.88	1.75
6.84	-1.78	4.88	1.78
6.89	-1.80	4.92	1.80
6.94	-1.80	4.97	1.80
6.98	-1.81	5.02	1.81
7.03	-1.82	5.02	1.82
7.08	-1.83	5.06	1.83
7.13	-1.83	5.11	1.83
7.17	-1.85	5.11	1.85
7.27	-1.86	5.20	1.86
7.31	-1.87	5.25	1.87
7.50	-1.90	5.44	1.90
7.55	-1.91	5.44	1.91
7.59	-1.92	5.48	1.92
7.64	-1.93	5.53	1.93
7.69	-1.93	5.53	1.93
7.73	-1.94	5.53	1.94
7.78	-1.95	5.53	1.95
8.16	-1.97	5.91	1.97
8.20	-1.98	5.91	1.98
8.25	-1.98	5.91	1.98
8.30	-1.98	5.91	1.98
8.34	-1.99	5.95	1.99
8.39	-1.99	6.00	1.99
8.44	-2.00	6.00	2.00
8.48	-2.00	6.00	2.00
8.58	-2.01	6.09	2.01
8.67	-2.03	6.19	2.03
8.72	-2.04	6.19	2.04
8.91	-2.06	6.38	2.06
8.95	-2.07	6.42	2.07
9.05	-2.09	6.42	2.09
9.09	-2.10	6.42	2.10
9.14	-2.11	6.42	2.11
9.19	-2.11	6.42	2.11
9.23	-2.13	6.42	2.13
9.28	-2.13	6.47	2.13
9.33	-2.14	6.47	2.14
9.38	-2.14	6.47	2.14
9.56	-2.15	6.66	2.15
9.61	-2.16	6.70	2.16
9.66	-2.16	6.70	2.16
10.41	-2.16	7.45	2.16
10.45	-2.16	7.45	2.16
10.55	-2.17	7.55	2.17
10.59	-2.17	7.55	2.17
10.64	-2.18	7.55	2.18
10.69	-2.18	7.59	2.18
10.78	-2.19	7.69	2.19
10.97	-2.20	7.69	2.20
11.02	-2.20	7.69	2.20
11.06	-2.20	7.69	2.20
11.44	-2.20	8.06	2.20
11.48	-2.20	8.06	2.20
11.53	-2.21	8.06	2.21
11.58	-2.22	8.06	2.22
11.63	-2.22	8.06	2.22
11.67	-2.22	8.06	2.22
11.77	-2.23	8.16	2.23
11.95	-2.23	8.34	2.23
12.00	-2.23	8.34	2.23
12.05	-2.24	8.34	2.24
12.09	-2.24	8.34	2.24
12.19	-2.24	8.34	2.24
12.28	-2.24	8.44	2.24
12.33	-2.24	8.44	2.24
12.38	-2.24	8.44	2.24
12.56	-2.24	8.63	2.24
12.66	-2.25	8.72	2.25
12.70	-2.24	8.72	2.24
13.08	-2.25	9.09	2.25
13.13	-2.25	9.09	2.25
13.17	-2.25	9.09	2.25
13.22	-2.24	9.09	2.24
13.31	-2.25	9.09	2.25
13.36	-2.25	9.09	2.25
13.45	-2.25	9.19	2.25
13.55	-2.25	9.19	2.25
13.64	-2.26	9.28	2.26
13.69	-2.26	9.28	2.26
13.78	-2.26	9.28	2.26
13.88	-2.27	9.28	2.27
13.92	-2.26	9.28	2.26
14.02	-2.27	9.38	2.27
14.20	-2.28	9.56	2.28
14.25	-2.26	9.56	2.26
14.30	-2.27	9.56	2.27
14.39	-2.27	9.56	2.27
14.48	-2.28	9.56	2.28
14.53	-2.27	9.56	2.27
14.63	-2.28	9.56	2.28
15.38	-2.28	10.31	2.28
15.56	-2.28	10.31	2.28
15.61	-2.27	10.31	2.27
15.70	-2.28	10.31	2.28
15.89	-2.29	10.31	2.29
15.94	-2.27	10.31	2.27
16.03	-2.29	10.31	2.29
16.22	-2.30	10.50	2.30
16.31	-2.30	10.50	2.30
16.41	-2.29	10.50	2.29
16.50	-2.30	10.50	2.30
16.59	-2.29	10.50	2.29
16.69	-2.30	10.50	2.30
16.88	-2.30	10.69	2.30
16.97	-2.29	10.69	2.29
17.16	-2.29	10.88	2.29
17.34	-2.30	10.88	2.30
17.53	-2.30	11.06	2.30
17.63	-2.29	11.06	2.29
17.72	-2.31	11.06	2.31
17.81	-2.29	11.06	2.29
18.56	-2.31	11.81	2.31
18.75	-2.31	11.81	2.31
19.13	-2.31	11.81	2.31
19.22	-2.31	11.81	2.31
19.41	-2.33	11.81	2.33
19.50	-2.31	11.81	2.31
19.59	-2.30	11.81	2.30
19.78	-2.31	12.00	2.31
19.97	-2.32	12.00	2.32
20.06	-2.30	12.00	2.30
20.25	-2.31	12.00	2.31
20.44	-2.31	12.00	2.31
20.63	-2.32	12.00	2.32
20.81	-2.31	12.00	2.31
21.00	-2.31	12.00	2.31
21.19	-2.31	12.00	2.31
21.56	-2.32	12.38	2.32
21.75	-2.31	12.38	2.31
21.94	-2.31	12.38	2.31
22.13	-2.31	12.38	2.31
22.31	-2.32	12.38	2.32
22.69	-2.33	12.75	2.33
22.88	-2.32	12.75	2.32
23.06	-2.30	12.75	2.30
23.44	-2.31	13.13	2.31
23.81	-2.33	13.50	2.33
24.00	-2.31	13.50	2.31
24.38	-2.33	13.88	2.33
24.75	-2.33	13.88	2.33
24.94	-2.33	13.88	2.33
25.13	-2.32	13.88	2.32
25.50	-2.32	14.25	2.32
25.69	-2.29	14.25	2.29
26.06	-2.31	14.63	2.31
26.44	-2.32	14.63	2.32
26.63	-2.31	14.63	2.31
6.56	-1.36	4.50	1.36
6.61	-1.45	4.55	1.45
6.66	-1.54	4.55	1.54
6.70	-1.58	4.59	1.58
6.75	-1.63	4.64	1.63
6.80	-1.68	4.69	1.68
6.84	-1.71	4.73	1.71
6.89	-1.73	4.78	1.73
6.94	-1.74	4.83	1.74
6.98	-1.77	4.88	1.77
7.03	-1.79	4.88	1.79
7.08	-1.81	4.92	1.81
7.13	-1.82	4.97	1.82
7.17	-1.83	5.02	1.83
7.22	-1.83	5.02	1.83
7.27	-1.84	5.06	1.84
7.31	-1.84	5.11	1.84
7.36	-1.86	5.11	1.86
7.45	-1.87	5.20	1.87
7.50	-1.88	5.25	1.88
7.69	-1.91	5.44	1.91
7.73	-1.92	5.44	1.92
7.78	-1.93	5.48	1.93
7.83	-1.94	5.53	1.94
7.88	-1.94	5.53	1.94
7.92	-1.95	5.53	1.95
7.97	-1.96	5.53	1.96
8.34	-1.98	5.91	1.98
8.39	-1.99	5.91	1.99
8.44	-2.00	5.91	2.00
8.48	-2.00	5.91	2.00
8.53	-2.01	5.95	2.01
8.58	-2.00	6.00	2.00
8.63	-2.01	6.00	2.01
8.67	-2.01	6.00	2.01
8.77	-2.02	6.09	2.02
8.86	-2.04	6.19	2.04
8.91	-2.05	6.19	2.05
9.09	-2.07	6.38	2.07
9.14	-2.08	6.42	2.08
9.23	-2.10	6.42	2.10
9.28	-2.11	6.42	2.11
9.33	-2.12	6.42	2.12
9.38	-2.13	6.42	2.13
9.42	-2.14	6.42	2.14
9.47	-2.14	6.47	2.14
9.52	-2.15	6.47	2.15
9.56	-2.15	6.47	2.15
9.75	-2.16	6.66	2.16
9.80	-2.17	6.70	2.17
9.84	-2.17	6.70	2.17
10.59	-2.17	7.45	2.17
10.64	-2.18	7.45	2.18
10.73	-2.18	7.55	2.18
10.78	-2.18	7.55	2.18
10.83	-2.19	7.55	2.19
10.88	-2.20	7.59	2.20
10.97	-2.20	7.69	2.20
11.16	-2.21	7.69	2.21
11.20	-2.21	7.69	2.21
11.25	-2.21	7.69	2.21
11.63	-2.21	8.06	2.21
11.67	-2.22	8.06	2.22
11.72	-2.22	8.06	2.22
11.77	-2.23	8.06	2.23
11.81	-2.23	8.06	2.23
11.86	-2.23	8.06	2.23
11.95	-2.24	8.16	2.24
12.14	-2.24	8.34	2.24
12.19	-2.24	8.34	2.24
12.23	-2.25	8.34	2.25
12.28	-2.25	8.34	2.25
12.38	-2.25	8.34	2.25
12.47	-2.25	8.44	2.25
12.52	-2.25	8.44	2.25
12.56	-2.25	8.44	2.25
12.75	-2.25	8.63	2.25
12.84	-2.26	8.72	2.26
12.89	-2.25	8.72	2.25
13.27	-2.26	9.09	2.26
13.31	-2.26	9.09	2.26
13.36	-2.26	9.09	2.26
13.41	-2.25	9.09	2.25
13.50	-2.26	9.09	2.26
13.55	-2.26	9.09	2.26
13.64	-2.26	9.19	2.26
13.73	-2.26	9.19	2.26
13.83	-2.27	9.28	2.27
13.88	-2.27	9.28	2.27
13.97	-2.28	9.28	2.28
14.06	-2.28	9.28	2.28
14.11	-2.27	9.28	2.27
14.20	-2.28	9.38	2.28
14.39	-2.29	9.56	2.29
14.44	-2.27	9.56	2.27
14.48	-2.28	9.56	2.28
14.58	-2.29	9.56	2.29
14.67	-2.29	9.56	2.29
14.72	-2.28	9.56	2.28
14.81	-2.29	9.56	2.29
15.56	-2.29	10.31	2.29
15.75	-2.29	10.31	2.29
15.80	-2.28	10.31	2.28
15.89	-2.29	10.31	2.29
16.08	-2.30	10.31	2.30
16.13	-2.28	10.31	2.28
16.22	-2.30	10.31	2.30
16.41	-2.31	10.50	2.31
16.50	-2.31	10.50	2.31
16.59	-2.30	10.50	2.30
16.69	-2.31	10.50	2.31
16.78	-2.30	10.50	2.30
16.88	-2.31	10.50	2.31
17.06	-2.31	10.69	2.31
17.16	-2.30	10.69	2.30
17.34	-2.31	10.88	2.31
17.53	-2.31	10.88	2.31
17.72	-2.31	11.06	2.31
17.81	-2.30	11.06	2.30
17.91	-2.32	11.06	2.32
18.00	-2.31	11.06	2.31
18.75	-2.32	11.81	2.32
18.94	-2.32	11.81	2.32
19.31	-2.32	11.81	2.32
19.41	-2.33	11.81	2.33
19.59	-2.34	11.81	2.34
19.69	-2.32	11.81	2.32
19.78	-2.31	11.81	2.31
19.97	-2.33	12.00	2.33
20.16	-2.33	12.00	2.33
20.25	-2.31	12.00	2.31
20.44	-2.32	12.00	2.32
20.63	-2.32	12.00	2.32
20.81	-2.33	12.00	2.33
21.00	-2.32	12.00	2.32
21.19	-2.32	12.00	2.32
21.38	-2.32	12.00	2.32
21.75	-2.33	12.38	2.33
21.94	-2.32	12.38	2.32
22.13	-2.32	12.38	2.32
22.31	-2.32	12.38	2.32
22.50	-2.33	12.38	2.33
22.88	-2.34	12.75	2.34
23.06	-2.33	12.75	2.33
23.25	-2.32	12.75	2.32
23.63	-2.33	13.13	2.33
24.00	-2.34	13.50	2.34
24.19	-2.32	13.50	2.32
24.56	-2.34	13.88	2.34
24.94	-2.34	13.88	2.34
25.13	-2.34	13.88	2.34
25.31	-2.33	13.88	2.33
25.69	-2.33	14.25	2.33
25.88	-2.30	14.25	2.30
26.25	-2.33	14.63	2.33
26.63	-2.33	14.63	2.33
26.81	-2.32	14.63	2.32
7.31	-1.40	5.25	1.40
7.36	-1.49	5.30	1.49
7.41	-1.58	5.30	1.58
7.45	-1.62	5.34	1.62
7.50	-1.67	5.39	1.67
7.55	-1.71	5.44	1.71
7.59	-1.75	5.48	1.75
7.64	-1.76	5.53	1.76
7.69	-1.78	5.58	1.78
7.73	-1.80	5.63	1.80
7.78	-1.83	5.63	1.83
7.83	-1.85	5.67	1.85
7.88	-1.85	5.72	1.85
7.92	-1.86	5.77	1.86
7.97	-1.87	5.77	1.87
8.02	-1.88	5.81	1.88
8.06	-1.88	5.86	1.88
8.11	-1.90	5.86	1.90
8.20	-1.91	5.95	1.91
8.25	-1.92	6.00	1.92
8.44	-1.95	6.19	1.95
8.48	-1.96	6.19	1.96
8.53	-1.97	6.23	1.97
8.58	-1.98	6.28	1.98
8.63	-1.98	6.28	1.98
8.67	-1.99	6.28	1.99
8.72	-2.00	6.28	2.00
9.09	-2.02	6.66	2.02
9.14	-2.03	6.66	2.03
9.19	-2.04	6.66	2.04
9.23	-2.03	6.66	2.03
9.28	-2.04	6.70	2.04
9.33	-2.04	6.75	2.04
9.38	-2.05	6.75	2.05
9.42	-2.05	6.75	2.05
9.52	-2.06	6.84	2.06
9.61	-2.08	6.94	2.08
9.66	-2.09	6.94	2.09
9.84	-2.11	7.13	2.11
9.89	-2.12	7.17	2.12
9.98	-2.14	7.17	2.14
10.03	-2.15	7.17	2.15
10.08	-2.16	7.17	2.16
10.13	-2.16	7.17	2.16
10.17	-2.18	7.17	2.18
10.22	-2.18	7.22	2.18
10.27	-2.19	7.22	2.19
10.31	-2.19	7.22	2.19
10.50	-2.20	7.41	2.20
10.55	-2.21	7.45	2.21
10.59	-2.21	7.45	2.21
11.34	-2.21	8.20	2.21
11.39	-2.21	8.20	2.21
11.48	-2.22	8.30	2.22
11.53	-2.22	8.30	2.22
11.58	-2.23	8.30	2.23
11.63	-2.23	8.34	2.23
11.72	-2.24	8.44	2.24
11.91	-2.25	8.44	2.25
11.95	-2.25	8.44	2.25
12.00	-2.25	8.44	2.25
12.38	-2.25	8.81	2.25
12.42	-2.25	8.81	2.25
12.47	-2.26	8.81	2.26
12.52	-2.27	8.81	2.27
12.56	-2.27	8.81	2.27
12.61	-2.27	8.81	2.27
12.70	-2.28	8.91	2.28
12.89	-2.28	9.09	2.28
12.94	-2.28	9.09	2.28
12.98	-2.29	9.09	2.29
13.03	-2.29	9.09	2.29
13.13	-2.29	9.09	2.29
13.22	-2.29	9.19	2.29
13.27	-2.29	9.19	2.29
13.31	-2.29	9.19	2.29
13.50	-2.29	9.38	2.29
13.59	-2.30	9.47	2.30
13.64	-2.29	9.47	2.29
14.02	-2.30	9.84	2.30
14.06	-2.30	9.84	2.30
14.11	-2.30	9.84	2.30
14.16	-2.29	9.84	2.29
14.25	-2.30	9.84	2.30
14.30	-2.30	9.84	2.30
14.39	-2.30	9.94	2.30
14.48	-2.30	9.94	2.30
14.58	-2.31	10.03	2.31
14.63	-2.31	10.03	2.31
14.72	-2.31	10.03	2.31
14.81	-2.32	10.03	2.32
14.86	-2.31	10.03	2.31
14.95	-2.32	10.13	2.32
15.14	-2.33	10.31	2.33
15.19	-2.31	10.31	2.31
15.23	-2.32	10.31	2.32
15.33	-2.32	10.31	2.32
15.42	-2.33	10.31	2.33
15.47	-2.32	10.31	2.32
15.56	-2.33	10.31	2.33
16.31	-2.33	11.06	2.33
16.50	-2.33	11.06	2.33
16.55	-2.32	11.06	2.32
16.64	-2.33	11.06	2.33
16.83	-2.34	11.06	2.34
16.88	-2.32	11.06	2.32
16.97	-2.34	11.06	2.34
17.16	-2.35	11.25	2.35
17.25	-2.35	11.25	2.35
17.34	-2.34	11.25	2.34
17.44	-2.35	11.25	2.35
17.53	-2.34	11.25	2.34
17.63	-2.35	11.25	2.35
17.81	-2.35	11.44	2.35
17.91	-2.34	11.44	2.34
18.09	-2.34	11.63	2.34
18.28	-2.35	11.63	2.35
18.47	-2.35	11.81	2.35
18.56	-2.34	11.81	2.34
18.66	-2.36	11.81	2.36
18.75	-2.34	11.81	2.34
19.50	-2.36	12.56	2.36
19.69	-2.36	12.56	2.36
20.06	-2.36	12.56	2.36
20.16	-2.36	12.56	2.36
20.34	-2.38	12.56	2.38
20.44	-2.36	12.56	2.36
20.53	-2.35	12.56	2.35
20.72	-2.36	12.75	2.36
20.91	-2.37	12.75	2.37
21.00	-2.35	12.75	2.35
21.19	-2.36	12.75	2.36
21.38	-2.36	12.75	2.36
21.56	-2.37	12.75	2.37
21.75	-2.36	12.75	2.36
21.94	-2.36	12.75	2.36
22.13	-2.36	12.75	2.36
22.50	-2.37	13.13	2.37
22.69	-2.36	13.13	2.36
22.88	-2.36	13.13	2.36
23.06	-2.36	13.13	2.36
23.25	-2.37	13.13	2.37
23.63	-2.38	13.50	2.38
23.81	-2.37	13.50	2.37
24.00	-2.35	13.50	2.35
24.38	-2.36	13.88	2.36
24.75	-2.38	14.25	2.38
24.94	-2.36	14.25	2.36
25.31	-2.38	14.63	2.38
25.69	-2.38	14.63	2.38
25.88	-2.38	14.63	2.38
26.06	-2.37	14.63	2.37
26.44	-2.37	15.00	2.37
26.63	-2.34	15.00	2.34
27.00	-2.36	15.38	2.36
27.38	-2.37	15.38	2.37
27.56	-2.36	15.38	2.36
7.50	-1.43	5.44	1.43
7.55	-1.52	5.48	1.52
7.59	-1.60	5.48	1.60
7.64	-1.65	5.53	1.65
7.69	-1.70	5.58	1.70
7.73	-1.74	5.63	1.74
7.78	-1.78	5.67	1.78
7.83	-1.79	5.72	1.79
7.88	-1.80	5.77	1.80
7.92	-1.83	5.81	1.83
7.97	-1.85	5.81	1.85
8.02	-1.87	5.86	1.87
8.06	-1.88	5.91	1.88
8.11	-1.89	5.95	1.89
8.16	-1.90	5.95	1.90
8.20	-1.90	6.00	1.90
8.25	-1.91	6.05	1.91
8.30	-1.93	6.05	1.93
8.39	-1.93	6.14	1.93
8.44	-1.95	6.19	1.95
8.63	-1.97	6.38	1.97
8.67	-1.99	6.38	1.99
8.72	-2.00	6.42	2.00
8.77	-2.00	6.47	2.00
8.81	-2.01	6.47	2.01
8.86	-2.01	6.47	2.01
8.91	-2.03	6.47	2.03
9.28	-2.04	6.84	2.04
9.33	-2.05	6.84	2.05
9.38	-2.06	6.84	2.06
9.42	-2.06	6.84	2.06
9.47	-2.07	6.89	2.07
9.52	-2.07	6.94	2.07
9.56	-2.08	6.94	2.08
