rom	bdrate	romsym	bdratesym
2.11	-0.83	1.59	0.83
2.16	-0.84	1.64	0.84
2.20	-0.84	1.69	0.84
2.25	-0.84	1.69	0.84
2.30	-0.85	1.69	0.85
2.39	-0.85	1.78	0.85
2.48	-0.87	1.88	0.87
2.53	-0.89	1.88	0.89
2.72	-0.90	2.06	0.90
2.77	-0.91	2.11	0.91
2.86	-0.93	2.11	0.93
2.91	-0.94	2.11	0.94
2.95	-0.95	2.11	0.95
3.00	-0.96	2.11	0.96
3.05	-0.97	2.11	0.97
3.09	-0.97	2.16	0.97
3.14	-0.98	2.16	0.98
3.19	-0.98	2.16	0.98
3.38	-1.00	2.34	1.00
3.42	-1.00	2.39	1.00
3.47	-1.00	2.39	1.00
4.22	-1.01	3.14	1.01
4.27	-1.01	3.14	1.01
4.36	-1.01	3.23	1.01
4.41	-1.02	3.23	1.02
4.45	-1.02	3.23	1.02
4.50	-1.03	3.28	1.03
4.59	-1.03	3.38	1.03
4.78	-1.04	3.38	1.04
4.83	-1.05	3.38	1.05
4.88	-1.04	3.38	1.04
5.25	-1.04	3.75	1.04
5.30	-1.05	3.75	1.05
5.34	-1.06	3.75	1.06
5.39	-1.06	3.75	1.06
5.44	-1.06	3.75	1.06
5.48	-1.06	3.75	1.06
5.58	-1.07	3.84	1.07
5.77	-1.08	4.03	1.08
5.81	-1.07	4.03	1.07
5.86	-1.08	4.03	1.08
5.91	-1.08	4.03	1.08
6.00	-1.09	4.03	1.09
6.09	-1.09	4.13	1.09
6.14	-1.08	4.13	1.08
6.19	-1.08	4.13	1.08
6.38	-1.09	4.31	1.09
6.47	-1.09	4.41	1.09
6.52	-1.09	4.41	1.09
6.89	-1.10	4.78	1.10
6.94	-1.10	4.78	1.10
6.98	-1.10	4.78	1.10
7.03	-1.08	4.78	1.08
7.13	-1.09	4.78	1.09
7.17	-1.09	4.78	1.09
7.27	-1.10	4.88	1.10
7.36	-1.10	4.88	1.10
7.45	-1.11	4.97	1.11
7.50	-1.11	4.97	1.11
7.59	-1.11	4.97	1.11
7.69	-1.12	4.97	1.12
7.73	-1.10	4.97	1.10
7.83	-1.12	5.06	1.12
8.02	-1.12	5.25	1.12
8.06	-1.11	5.25	1.11
8.11	-1.11	5.25	1.11
8.20	-1.12	5.25	1.12
8.30	-1.12	5.25	1.12
8.34	-1.11	5.25	1.11
8.44	-1.12	5.25	1.12
9.19	-1.12	6.00	1.12
9.38	-1.13	6.00	1.13
9.42	-1.11	6.00	1.11
9.52	-1.12	6.00	1.12
9.70	-1.14	6.00	1.14
9.75	-1.12	6.00	1.12
9.84	-1.14	6.00	1.14
10.03	-1.15	6.19	1.15
10.13	-1.14	6.19	1.14
10.22	-1.14	6.19	1.14
10.31	-1.14	6.19	1.14
10.41	-1.13	6.19	1.13
10.50	-1.14	6.19	1.14
10.69	-1.15	6.38	1.15
10.78	-1.14	6.38	1.14
10.97	-1.14	6.56	1.14
11.16	-1.14	6.56	1.14
11.34	-1.15	6.75	1.15
11.44	-1.13	6.75	1.13
11.53	-1.15	6.75	1.15
11.63	-1.14	6.75	1.14
12.38	-1.15	7.50	1.15
12.56	-1.15	7.50	1.15
12.94	-1.15	7.50	1.15
13.03	-1.16	7.50	1.16
13.22	-1.17	7.50	1.17
13.31	-1.15	7.50	1.15
13.41	-1.15	7.50	1.15
13.59	-1.16	7.69	1.16
13.78	-1.16	7.69	1.16
13.88	-1.14	7.69	1.14
14.06	-1.15	7.69	1.15
14.25	-1.15	7.69	1.15
14.44	-1.16	7.69	1.16
14.63	-1.15	7.69	1.15
14.81	-1.15	7.69	1.15
15.00	-1.15	7.69	1.15
15.38	-1.16	8.06	1.16
15.56	-1.16	8.06	1.16
15.75	-1.16	8.06	1.16
15.94	-1.16	8.06	1.16
16.13	-1.16	8.06	1.16
16.50	-1.17	8.44	1.17
16.69	-1.17	8.44	1.17
16.88	-1.15	8.44	1.15
17.25	-1.16	8.81	1.16
17.63	-1.17	9.19	1.17
17.81	-1.16	9.19	1.16
18.19	-1.17	9.56	1.17
18.56	-1.17	9.56	1.17
18.75	-1.17	9.56	1.17
18.94	-1.17	9.56	1.17
19.31	-1.17	9.94	1.17
19.50	-1.14	9.94	1.14
19.88	-1.16	10.31	1.16
20.25	-1.16	10.31	1.16
20.44	-1.16	10.31	1.16
0.38	-0.29	0.38	0.29
0.42	-0.37	0.42	0.37
0.47	-0.46	0.42	0.46
0.52	-0.50	0.47	0.50
0.56	-0.55	0.52	0.55
0.61	-0.60	0.56	0.60
0.66	-0.63	0.61	0.63
0.70	-0.65	0.66	0.65
0.75	-0.66	0.70	0.66
0.80	-0.69	0.75	0.69
0.84	-0.71	0.75	0.71
0.89	-0.73	0.80	0.73
0.94	-0.74	0.84	0.74
0.98	-0.75	0.89	0.75
1.03	-0.76	0.89	0.76
1.08	-0.76	0.94	0.76
1.13	-0.77	0.98	0.77
1.17	-0.78	0.98	0.78
1.27	-0.79	1.08	0.79
1.31	-0.80	1.13	0.80
1.50	-0.83	1.31	0.83
1.55	-0.84	1.31	0.84
1.59	-0.86	1.36	0.86
1.64	-0.86	1.41	0.86
1.69	-0.86	1.41	0.86
1.73	-0.87	1.41	0.87
1.78	-0.88	1.41	0.88
2.16	-0.90	1.78	0.90
2.20	-0.91	1.78	0.91
2.25	-0.92	1.78	0.92
2.30	-0.92	1.78	0.92
2.34	-0.93	1.83	0.93
2.39	-0.92	1.88	0.92
2.44	-0.93	1.88	0.93
2.48	-0.94	1.88	0.94
2.58	-0.94	1.97	0.94
2.67	-0.96	2.06	0.96
2.72	-0.98	2.06	0.98
2.91	-0.99	2.25	0.99
2.95	-1.00	2.30	1.00
3.05	-1.02	2.30	1.02
3.09	-1.03	2.30	1.03
3.14	-1.04	2.30	1.04
3.19	-1.05	2.30	1.05
3.23	-1.06	2.30	1.06
3.28	-1.06	2.34	1.06
3.33	-1.07	2.34	1.07
3.38	-1.07	2.34	1.07
3.56	-1.08	2.53	1.08
3.61	-1.09	2.58	1.09
3.66	-1.09	2.58	1.09
4.41	-1.09	3.33	1.09
4.45	-1.10	3.33	1.10
4.55	-1.10	3.42	1.10
4.59	-1.10	3.42	1.10
4.64	-1.11	3.42	1.11
4.69	-1.12	3.47	1.12
4.78	-1.12	3.56	1.12
4.97	-1.13	3.56	1.13
5.02	-1.13	3.56	1.13
5.06	-1.13	3.56	1.13
5.44	-1.13	3.94	1.13
5.48	-1.14	3.94	1.14
5.53	-1.14	3.94	1.14
5.58	-1.15	3.94	1.15
5.63	-1.15	3.94	1.15
5.67	-1.15	3.94	1.15
5.77	-1.16	4.03	1.16
5.95	-1.16	4.22	1.16
6.00	-1.16	4.22	1.16
6.05	-1.17	4.22	1.17
6.09	-1.17	4.22	1.17
6.19	-1.17	4.22	1.17
6.28	-1.18	4.31	1.18
6.33	-1.17	4.31	1.17
6.38	-1.17	4.31	1.17
6.56	-1.18	4.50	1.18
6.66	-1.18	4.59	1.18
6.70	-1.18	4.59	1.18
7.08	-1.18	4.97	1.18
7.13	-1.19	4.97	1.19
7.17	-1.19	4.97	1.19
7.22	-1.17	4.97	1.17
7.31	-1.18	4.97	1.18
7.36	-1.18	4.97	1.18
7.45	-1.18	5.06	1.18
7.55	-1.19	5.06	1.19
7.64	-1.20	5.16	1.20
7.69	-1.19	5.16	1.19
7.78	-1.20	5.16	1.20
7.88	-1.20	5.16	1.20
7.92	-1.19	5.16	1.19
8.02	-1.20	5.25	1.20
8.20	-1.21	5.44	1.21
8.25	-1.20	5.44	1.20
8.30	-1.20	5.44	1.20
8.39	-1.21	5.44	1.21
8.48	-1.21	5.44	1.21
8.53	-1.20	5.44	1.20
8.63	-1.21	5.44	1.21
9.38	-1.21	6.19	1.21
9.56	-1.21	6.19	1.21
9.61	-1.20	6.19	1.20
9.70	-1.21	6.19	1.21
9.89	-1.22	6.19	1.22
9.94	-1.20	6.19	1.20
10.03	-1.22	6.19	1.22
10.22	-1.23	6.38	1.23
10.31	-1.23	6.38	1.23
