iter	dct	rdot_sep	rdot_nsep
198	27.04	26.1039	24.5048
199	27.04	26.1032	24.5039
200	27.04	26.1026	24.5030
201	27.04	26.1020	24.5021
202	27.04	26.1013	24.5013
203	27.04	26.1007	24.5004
204	27.04	26.1001	24.4995
205	27.04	26.0995	24.4987
206	27.04	26.0989	24.4978
207	27.04	26.0983	24.4970
208	27.04	26.0977	24.4962
209	27.04	26.0971	24.4953
210	27.04	26.0965	24.4945
211	27.04	26.0959	24.4937
212	27.04	26.0953	24.4929
213	27.04	26.0948	24.4921
214	27.04	26.0942	24.4914
215	27.04	26.0936	24.4906
216	27.04	26.0931	24.4898
217	27.04	26.0925	24.4890
218	27.04	26.0920	24.4883
219	27.04	26.0914	24.4875
220	27.04	26.0909	24.4868
221	27.04	26.0903	24.4861
222	27.04	26.0898	24.4853
223	27.04	26.0893	24.4846
224	27.04	26.0887	24.4839
225	27.04	26.0882	24.4832
226	27.04	26.0877	24.4825
227	27.04	26.0872	24.4818
228	27.04	26.0867	24.4811
229	27.04	26.0862	24.4805
230	27.04	26.0856	24.4798
231	27.04	26.0851	24.4791
232	27.04	26.0846	24.4785
233	27.04	26.0841	24.4778
234	27.04	26.0837	24.4772
235	27.04	26.0832	24.4766
236	27.04	26.0827	24.4759
237	27.04	26.0822	24.4753
238	27.04	26.0817	24.4747
239	27.04	26.0812	24.4741
240	27.04	26.0808	24.4734
241	27.04	26.0803	24.4728
242	27.04	26.0798	24.4722
243	27.04	26.0793	24.4716
244	27.04	26.0789	24.4711
245	27.04	26.0784	24.4705
246	27.04	26.0780	24.4699
247	27.04	26.0775	24.4693
248	27.04	26.0771	24.4688
249	27.04	26.0766	24.4682
250	27.04	26.0762	24.4676
251	27.04	26.0757	24.4671
252	27.04	26.0753	24.4666
253	27.04	26.0748	24.4660
254	27.04	26.0744	24.4655
255	27.04	26.0740	24.4650
256	27.04	26.0735	24.4644
257	27.04	26.0731	24.4639
258	27.04	26.0727	24.4634
259	27.04	26.0723	24.4629
260	27.04	26.0719	24.4624
261	27.04	26.0714	24.4620
262	27.04	26.0710	24.4615
263	27.04	26.0706	24.4610
264	27.04	26.0702	24.4605
265	27.04	26.0698	24.4601
266	27.04	26.0694	24.4596
267	27.04	26.0690	24.4591
268	27.04	26.0686	24.4587
269	27.04	26.0682	24.4582
270	27.04	26.0678	24.4578
271	27.04	26.0674	24.4574
272	27.04	26.0671	24.4569
273	27.04	26.0667	24.4565
274	27.04	26.0663	24.4561
275	27.04	26.0659	24.4557
276	27.04	26.0655	24.4552
277	27.04	26.0652	24.4548
278	27.04	26.0648	24.4544
279	27.04	26.0644	24.4540
280	27.04	26.0641	24.4536
281	27.04	26.0637	24.4532
282	27.04	26.0633	24.4528
283	27.04	26.0630	24.4524
284	27.04	26.0626	24.4521
285	27.04	26.0623	24.4517
286	27.04	26.0619	24.4513
287	27.04	26.0616	24.4509
288	27.04	26.0612	24.4506
289	27.04	26.0609	24.4502
290	27.04	26.0605	24.4498
291	27.04	26.0602	24.4495
292	27.04	26.0598	24.4491
293	27.04	26.0595	24.4488
294	27.04	26.0591	24.4484
295	27.04	26.0588	24.4481
296	27.04	26.0584	24.4477
297	27.04	26.0581	24.4474
298	27.04	26.0577	24.4471
299	27.04	26.0574	24.4467
300	27.04	26.0570	24.4464
301	27.04	26.0567	24.4461
302	27.04	26.0564	24.4458
303	27.04	26.0560	24.4455
304	27.04	26.0557	24.4451
305	27.04	26.0553	24.4448
306	27.04	26.0550	24.4445
307	27.04	26.0546	24.4442
308	27.04	26.0543	24.4439
309	27.04	26.0539	24.4436
310	27.04	26.0536	24.4433
311	27.04	26.0532	24.4430
312	27.04	26.0529	24.4427
313	27.04	26.0525	24.4424
314	27.04	26.0522	24.4421
315	27.04	26.0518	24.4419
316	27.04	26.0515	24.4416
317	27.04	26.0511	24.4413
318	27.04	26.0508	24.4410
319	27.04	26.0504	24.4407
320	27.04	26.0501	24.4405
321	27.04	26.0497	24.4402
322	27.04	26.0494	24.4399
323	27.04	26.0490	24.4397
324	27.04	26.0486	24.4394
325	27.04	26.0483	24.4391
326	27.04	26.0479	24.4389
327	27.04	26.0476	24.4386
328	27.04	26.0472	24.4384
329	27.04	26.0468	24.4381
330	27.04	26.0465	24.4378
331	27.04	26.0461	24.4376
332	27.04	26.0457	24.4374
333	27.04	26.0454	24.4371
334	27.04	26.0450	24.4369
335	27.04	26.0446	24.4366
336	27.04	26.0443	24.4364
337	27.04	26.0439	24.4362
338	27.04	26.0435	24.4359
339	27.04	26.0432	24.4357
340	27.04	26.0428	24.4355
341	27.04	26.0424	24.4352
342	27.04	26.0421	24.4350
343	27.04	26.0417	24.4348
344	27.04	26.0413	24.4346
345	27.04	26.0409	24.4343
346	27.04	26.0406	24.4341
347	27.04	26.0402	24.4339
348	27.04	26.0398	24.4337
349	27.04	26.0394	24.4335
350	27.04	26.0391	24.4333
351	27.04	26.0387	24.4331
352	27.04	26.0383	24.4329
353	27.04	26.0379	24.4327
354	27.04	26.0376	24.4325
355	27.04	26.0372	24.4323
356	27.04	26.0368	24.4321
357	27.04	26.0365	24.4319
358	27.04	26.0361	24.4317
359	27.04	26.0357	24.4315
360	27.04	26.0354	24.4313
361	27.04	26.0350	24.4311
362	27.04	26.0346	24.4309
363	27.04	26.0343	24.4307
364	27.04	26.0339	24.4305
365	27.04	26.0335	24.4303
366	27.04	26.0332	24.4302
367	27.04	26.0328	24.4300
368	27.04	26.0324	24.4298
369	27.04	26.0321	24.4296
370	27.04	26.0317	24.4294
371	27.04	26.0314	24.4292
372	27.04	26.0310	24.4291
373	27.04	26.0307	24.4289
374	27.04	26.0303	24.4287
375	27.04	26.0300	24.4285
376	27.04	26.0297	24.4284
377	27.04	26.0293	24.4282
378	27.04	26.0290	24.4280
379	27.04	26.0286	24.4278
380	27.04	26.0283	24.4277
381	27.04	26.0280	24.4275
382	27.04	26.0277	24.4273
383	27.04	26.0273	24.4272
384	27.04	26.0270	24.4270
385	27.04	26.0267	24.4268
386	27.04	26.0264	24.4267
387	27.04	26.0261	24.4265
388	27.04	26.0258	24.4263
389	27.04	26.0255	24.4262
390	27.04	26.0252	24.4260
391	27.04	26.0249	24.4259
392	27.04	26.0246	24.4257
393	27.04	26.0243	24.4255
394	27.04	26.0240	24.4254
395	27.04	26.0237	24.4252
396	27.04	26.0234	24.4251
397	27.04	26.0232	24.4249
398	27.04	26.0229	24.4248
399	27.04	26.0226	24.4246
400	27.04	26.0224	24.4245
401	27.04	26.0221	24.4243
402	27.04	26.0218	24.4242
403	27.04	26.0216	24.4240
404	27.04	26.0213	24.4239
405	27.04	26.0211	24.4237
406	27.04	26.0208	24.4236
407	27.04	26.0206	24.4234
408	27.04	26.0204	24.4233
409	27.04	26.0201	24.4232
410	27.04	26.0199	24.4230
411	27.04	26.0197	24.4229
412	27.04	26.0194	24.4227
413	27.04	26.0192	24.4226
414	27.04	26.0190	24.4224
415	27.04	26.0188	24.4223
416	27.04	26.0186	24.4222
417	27.04	26.0183	24.4220
418	27.04	26.0181	24.4219
419	27.04	26.0179	24.4217
420	27.04	26.0177	24.4216
421	27.04	26.0175	24.4215
422	27.04	26.0173	24.4213
423	27.04	26.0171	24.4212
424	27.04	26.0169	24.4211
425	27.04	26.0167	24.4209
426	27.04	26.0165	24.4208
427	27.04	26.0163	24.4207
428	27.04	26.0161	24.4205
429	27.04	26.0160	24.4204
430	27.04	26.0158	24.4203
431	27.04	26.0156	24.4201
432	27.04	26.0154	24.4200
433	27.04	26.0152	24.4199
434	27.04	26.0150	24.4198
435	27.04	26.0149	24.4196
436	27.04	26.0147	24.4195
437	27.04	26.0145	24.4194
438	27.04	26.0143	24.4193
439	27.04	26.0142	24.4191
440	27.04	26.0140	24.4190
441	27.04	26.0138	24.4189
442	27.04	26.0137	24.4187
443	27.04	26.0135	24.4186
444	27.04	26.0133	24.4185
445	27.04	26.0131	24.4184
446	27.04	26.0130	24.4183
447	27.04	26.0128	24.4181
448	27.04	26.0126	24.4180
449	27.04	26.0125	24.4179
450	27.04	26.0123	24.4178
451	27.04	26.0122	24.4176
452	27.04	26.0120	24.4175
453	27.04	26.0118	24.4174
454	27.04	26.0117	24.4173
455	27.04	26.0115	24.4172
456	27.04	26.0114	24.4171
457	27.04	26.0112	24.4169
458	27.04	26.0110	24.4168
459	27.04	26.0109	24.4167
460	27.04	26.0107	24.4166
461	27.04	26.0106	24.4165
462	27.04	26.0104	24.4164
463	27.04	26.0103	24.4162
464	27.04	26.0101	24.4161
465	27.04	26.0100	24.4160
466	27.04	26.0098	24.4159
467	27.04	26.0097	24.4158
468	27.04	26.0095	24.4157
469	27.04	26.0094	24.4156
470	27.04	26.0092	24.4154
471	27.04	26.0091	24.4153
472	27.04	26.0089	24.4152
473	27.04	26.0088	24.4151
474	27.04	26.0086	24.4150
475	27.04	26.0085	24.4149
476	27.04	26.0083	24.4148
477	27.04	26.0082	24.4147
478	27.04	26.0080	24.4146
479	27.04	26.0079	24.4144
480	27.04	26.0077	24.4143
481	27.04	26.0076	24.4142
482	27.04	26.0074	24.4141
483	27.04	26.0073	24.4140
484	27.04	26.0072	24.4139
485	27.04	26.0070	24.4138
486	27.04	26.0069	24.4137
487	27.04	26.0067	24.4136
488	27.04	26.0066	24.4135
489	27.04	26.0064	24.4134
490	27.04	26.0063	24.4133
491	27.04	26.0061	24.4132
492	27.04	26.0060	24.4131
493	27.04	26.0059	24.4129
