nz	dist
0.564973	1.187377
0.532216	1.564419
0.496331	2.073136
0.459318	2.740685
0.425473	3.505415
0.387509	4.577707
0.346904	6.03934
0.310958	7.666366
0.274908	9.736325
0.238711	12.329431
0.208352	15.076116
0.176163	18.678289
0.144763	23.171433
0.119257	27.843468
0.095874	33.1786
0.074956	39.17691
0.058918	44.87029
0.04408	51.66756
0.031125	58.975904
0.022349	65.498817
0.015081	71.9464
0.00996	77.971357
0.006558	82.910779
0.003965	87.438635
0.002174	91.437389
0.001234	94.16796
0.000626	96.281574
0.000296	97.862696
0.000142	98.782638
0.000064	99.274349
0.000021	99.563823
